open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
30622.10000000,30983.25000000,30210.00000000,30380.00000000,38108.99669000,1166497472.43317290,784195,18251.27965000,558742524.93122870
30380.00000000,31804.20000000,30251.00000000,31454.23000000,70772.51836000,2194927210.22441580,1301632,36084.84178000,1119542855.15131710
31454.23000000,31630.00000000,29900.00000000,30312.01000000,60749.48424000,1869443273.74762430,1274387,28513.77996000,877642037.82244150
30312.00000000,30390.90000000,30200.00000000,30289.52000000,14118.55329000,427921094.30217830,488354,6430.54981000,194912673.91192170
30289.52000000,30441.46000000,30064.29000000,30231.99000000,15760.12810000,477189328.00729370,494225,7322.44372000,221713710.22324300
30232.00000000,30336.96000000,29659.20000000,30138.00000000,30882.76839000,929647644.24334300,816466,14352.21893000,432105955.45477030
30138.01000000,30239.78000000,29512.00000000,29859.13000000,30003.86010000,897157095.47741110,754775,13771.19621000,411748868.06291270
29859.14000000,30189.09000000,29761.96000000,29909.21000000,25657.36137000,769254865.28511510,617415,12260.98321000,367624217.91743550
29909.21000000,30417.46000000,29570.96000000,29800.00000000,37540.68193000,1125950643.71164950,749723,18061.33493000,541742405.52049780
29800.00000000,30061.70000000,29726.34000000,29901.72000000,23881.40865000,713123417.76121390,555611,11566.38840000,345404092.64590830
29901.72000000,29999.00000000,29625.10000000,29794.00000000,14660.40467000,437785700.33961020,423988,6725.50525000,200848375.44856950
29793.99000000,30350.00000000,29730.00000000,30083.75000000,18292.78637000,548940321.09158660,519434,8889.35695000,266761143.41169810
30083.75000000,30099.58000000,28861.90000000,29176.50000000,39628.99691000,1162562413.81901540,869107,18047.66786000,529388757.49158140
29176.50000000,29376.00000000,29047.65000000,29228.91000000,21565.74780000,629531351.11456640,533797,10257.29455000,299466722.19760850
29228.91000000,29690.00000000,29096.94000000,29351.96000000,33931.63366000,995569172.13968360,750401,15987.94266000,469155943.83416000
29351.95000000,29567.49000000,29083.85000000,29222.78000000,22476.47626000,659594157.34435760,583045,10384.95749000,304728875.73123620
29222.78000000,29542.22000000,29123.12000000,29314.14000000,23993.61627000,702705076.83786600,543177,11422.36141000,334588917.08832910
29314.14000000,29406.92000000,29256.18000000,29352.90000000,10851.36844000,318276733.87664310,339750,5443.09222000,159659088.16467640
29352.90000000,29449.00000000,29033.24000000,29281.09000000,15706.97441000,459830379.65098240,454846,7720.41654000,226012721.37053510
29281.09000000,29530.00000000,29101.80000000,29232.25000000,22605.48964000,663025204.20723460,563115,11029.22580000,323482162.29208640
29232.26000000,29739.25000000,28585.70000000,29705.99000000,44719.65162000,1299160215.07792410,900141,21831.75056000,634595648.94353090
29705.99000000,30047.50000000,28927.50000000,29186.01000000,48181.65141000,1419729744.64975190,945158,22953.81440000,676256840.27505930
29186.00000000,29433.33000000,28968.00000000,29193.64000000,26476.91994000,773302705.49476290,651970,12901.09228000,376856740.48839370
29193.65000000,29333.08000000,28807.54000000,29113.99000000,23551.95217000,686643453.39309040,544850,10539.62903000,307284659.32142800
